Date,Close,High,Low,Open,Volume,Return_CC
2025-05-02,71.6500015258789,71.81999969482422,71.0999984741211,71.5,12629600,0.005049805102094629
2025-05-05,71.69999694824219,71.80000305175781,71.01000213623047,71.66999816894531,11932700,0.0006977728024921692
2025-05-06,71.72000122070312,71.9000015258789,71.16000366210938,71.68000030517578,12705500,0.0002789996277876572
2025-05-07,72.4000015258789,72.69000244140625,71.66999816894531,71.72000122070312,15018200,0.009481320323506681
2025-05-08,71.16999816894531,72.47000122070312,71.12999725341797,72.19999694824219,14371100,-0.01698899628467465
2025-05-09,70.5199966430664,71.1500015258789,70.45999908447266,70.98999786376953,11228900,-0.009133083358185745
2025-05-12,69.52999877929688,70.33000183105469,68.69999694824219,70.1500015258789,21539000,-0.01403854099398727
2025-05-13,68.95999908447266,69.69000244140625,68.87000274658203,69.58999633789062,14389100,-0.008197895941772115
2025-05-14,69.16000366210938,69.33999633789062,68.58000183105469,68.87999725341797,16286800,0.002900298438109461
2025-05-15,71.61000061035156,71.7300033569336,69.5999984741211,69.69999694824219,19817100,0.03542505521272066
2025-05-16,72.0,72.26000213623047,71.43000030517578,71.86000061035156,18441200,0.005446158166797499
2025-05-19,71.93000030517578,72.16999816894531,71.63999938964844,72.02999877929688,13282800,-0.0009722179836697542
2025-05-20,71.69000244140625,72.12999725341797,71.43000030517578,71.80000305175781,12137800,-0.0033365475149631507
2025-05-21,71.8499984741211,72.08000183105469,71.58000183105469,71.69000244140625,12094400,0.002231776081268899
2025-05-22,71.13999938964844,71.98999786376953,70.95999908447266,71.83999633789062,11101800,-0.009881685449560362
2025-05-23,71.7699966430664,71.9800033569336,70.69000244140625,71.54000091552734,12822100,0.00885573880830881
2025-05-27,71.77999877929688,72.22000122070312,71.55999755859375,71.73999786376953,10666100,0.0001393637550273219
2025-05-28,71.1500015258789,71.9000015258789,71.05000305175781,71.69999694824219,8710900,-0.008776779940537938
2025-05-29,71.48999786376953,71.66000366210938,70.45999908447266,71.0,10291100,0.004778585110317479
2025-05-30,72.0999984741211,72.47000122070312,71.61000061035156,71.61000061035156,28019500,0.008532670703305545
